band,class,p_value,rho,p_corr,significant
delta,A,0.3909941933715405,0.06893551702753797,0.4955554051115738,False
delta,B,0.07202950451324282,-0.1257346691979451,0.21258375326293716,False
delta,C,0.5117380026608358,-0.04412620685014434,0.6628898773204877,False
delta,D,0.22472420070444027,0.08397182798316852,0.4061830545575421,False
theta,A,0.45707512529556305,0.1019502879950732,0.31282216353751324,False
theta,B,0.6874205294764831,-0.032568625413919895,0.7476974613530134,False
theta,C,0.16450029547320633,-0.11171725822286849,0.2684689892679771,False
theta,D,0.419204372982688,-0.03909199688705231,0.6993835089290783,False
alpha,A,0.6016831793403887,0.09670506324310904,0.3384975674281784,False
alpha,B,0.47159849733081793,-0.09692813601991673,0.33737923749549126,False
alpha,C,0.4165900846424545,-0.046206209769026674,0.648032785131979,False
alpha,D,0.3669899824683509,-0.03901964895943902,0.6999132324187158,False
