subject,delta_energy_mean,delta_energy_std,delta_energy_cv,theta_energy_mean,theta_energy_std,theta_energy_cv,alpha_energy_mean,alpha_energy_std,alpha_energy_cv,beta_energy_mean,beta_energy_std,beta_energy_cv,theta_alpha_ratio
sub-001,3.67498386144905e-08,4.188286707315229e-08,1.1396748571472048,8.451325709911106e-09,6.15824274615105e-09,0.7286718033987385,1.0177037743744659e-08,9.692677464368268e-09,0.9524065556626137,2.3791692220049445e-08,4.5029576937353735e-08,1.892659694857979,0.8304308112746988
sub-002,8.573655829632877e-08,7.177364176210285e-08,0.8371416253266629,4.2003681688159223e-08,2.6825086255714603e-08,0.6386365475023718,1.7913081305143757e-08,1.1622328854097687e-08,0.6488179591280214,6.902434805395645e-09,4.483386834679913e-09,0.6495370055759515,2.344860773679279
sub-003,1.2275758731451467e-07,1.2762697641317793e-07,1.0396667057832238,1.0339498967830332e-07,7.168920080080312e-08,0.6933527535894379,9.563361280203982e-08,5.809279787079042e-08,0.6074516706907399,2.403121285178141e-08,1.1156273834489574e-08,0.46424098123131435,1.0811574157752404
sub-004,2.3839892752740775e-08,2.7592325193511007e-08,1.1574013977197457,1.1801995901138843e-08,9.662818081929639e-09,0.8187444024613851,4.8865999160269156e-09,3.6945060052235937e-09,0.7560483912559467,1.8656459044388e-09,1.32855060110486e-09,0.7121129459475312,2.4151753988352986
sub-005,3.403623239228759e-08,5.945759685341977e-08,1.7468912589424122,2.754018444349198e-09,2.1169101230173737e-09,0.7686622895939322,3.2001065906397274e-09,1.9556232093644394e-09,0.6111118970488713,5.579287736505178e-09,3.2309434357303104e-09,0.5790960402687795,0.8606020975690836
sub-006,4.856189624419717e-08,4.7603623902050764e-08,0.9802669908660967,1.5059391188592523e-08,1.0012754432708577e-08,0.6648844104862108,3.3277920180681024e-08,2.083346965794609e-08,0.626044823259136,1.1087738852849205e-08,5.5309292405456836e-09,0.4988329283318579,0.4525340257692852
sub-007,1.2779853904346016e-07,1.5172410769500322e-07,1.1872131624556892,1.8829399473348376e-08,2.051280382567631e-08,1.089402976165579,3.834267283656914e-08,3.675390437787952e-08,0.9585639617388816,1.4735022998084162e-08,8.56079625389338e-09,0.5809828905598892,0.49108207853965585
sub-008,9.41969925958225e-08,9.019308793710471e-08,0.9574943472357168,2.1851493656009263e-08,1.3084768653797663e-08,0.5988043133243338,1.5158657941477485e-08,7.87688241579907e-09,0.5196292736605761,9.057488950648267e-09,4.177573376714236e-09,0.4612286473079536,1.4415190144385197
sub-009,6.461031788126072e-08,7.68739198117246e-08,1.1898087230123466,1.506964786035021e-08,1.034018842283789e-08,0.6861599234872626,1.909355661574669e-08,1.2463092495386357e-08,0.6527381328792297,1.1563766072837248e-08,6.6508785126733835e-09,0.5751481369288496,0.7892530534579444
sub-010,4.701649328757013e-08,5.307139944672766e-08,1.1287825981007027,2.8260193483754858e-08,1.87143381541459e-08,0.6622154998656922,1.5170697440764516e-08,9.49492495347795e-09,0.6258726726672799,5.3647567791299236e-09,3.3741646572546578e-09,0.6289501642238275,1.8628143889955995
sub-011,5.971181556818834e-08,5.700864620431768e-08,0.9547297408704019,2.6939047047893555e-08,1.7356943351565683e-08,0.644304281465772,2.6844690249028253e-08,1.3293457744437538e-08,0.4951987756654687,1.4431904962684242e-08,7.160220970898108e-09,0.49613831226105526,1.003514914792832
sub-012,5.510055053504362e-08,5.5981076859322106e-08,1.015980354383546,2.891911238237662e-08,1.6712775687516533e-08,0.5779145454582257,3.8895059018505295e-08,1.9539328450409666e-08,0.5023601697355271,1.508764739553754e-08,8.888763112672526e-09,0.5891417581313273,0.7435163517457997
sub-013,1.257251766420928e-07,9.743164677334372e-08,0.7749573265719605,3.8613465519840666e-08,2.1837942786114683e-08,0.5655525214356568,2.861576414562237e-08,1.5368948854981405e-08,0.5370797989797013,1.4196539488971252e-08,1.0618651019339425e-08,0.7479746051908388,1.3493774034249488
sub-014,1.6903729222815924e-07,1.5028433880501512e-07,0.8890602589762726,8.691839622682124e-08,6.601077778975723e-08,0.7594569234514668,7.621067969009059e-08,5.521784335912742e-08,0.7245420665931577,1.6423458031677098e-08,1.1734965017600507e-08,0.7145246144244678,1.1405015226248263
sub-015,3.8321916383849143e-08,4.6451230686300945e-08,1.2121322488422819,1.722338409617322e-08,1.920123834046306e-08,1.1148354024531852,1.2726479298663432e-08,1.175806299726793e-08,0.923905403948034,5.961665306409193e-09,3.6406024074479197e-09,0.6106687008299554,1.3533502622349032
sub-016,4.7591533031144654e-08,5.329991864692101e-08,1.1199454031464104,1.4398196152208312e-08,1.1260570035958894e-08,0.7820819995032372,5.684971774305724e-08,5.2812995185836646e-08,0.9289930941176295,3.1263578056651e-08,1.8755976347575604e-08,0.5999305745999046,0.2532676805412405
sub-017,8.67782242497705e-08,2.708897464460761e-07,3.1216327458647264,1.0679782623287016e-08,2.1024941797778563e-08,1.9686675786765706,1.588203620148773e-08,1.2135388561388093e-08,0.7640952587837149,6.5358755653676474e-09,4.116632497402432e-09,0.6298517247200481,0.6724441682286684
sub-018,1.2575760790840897e-07,1.7926800485406676e-07,1.4255042524713906,8.618307410196972e-09,7.125216213870726e-09,0.8267535462288503,7.321428963335407e-09,5.55903366262825e-09,0.7592826059594429,8.227832384182803e-09,7.831567797953811e-09,0.9518385198280447,1.1771346076505191
sub-019,6.588804885614877e-08,9.294201379588504e-08,1.4106050400551746,2.2352231447153164e-08,1.8381325853179255e-08,0.8223485828087355,2.0888539057984863e-08,1.4939174336295028e-08,0.715185216870606,9.703972193132415e-09,6.379842182937352e-09,0.6574464617131138,1.0700715538365422
sub-020,2.1034679627087118e-08,2.267556028445331e-08,1.0780083503270081,1.3409177623573319e-08,1.195560049675796e-08,0.8915983390167066,1.2457942554114107e-08,9.24526691572825e-09,0.742118281214509,3.181016602704496e-09,2.2740982424459593e-09,0.7148966907348185,1.0763557116536129
sub-021,6.619160303202668e-09,6.348790563084708e-09,0.9591534684562418,1.5931208562763061e-09,1.2205240042073614e-09,0.7661214147055755,1.6485449615434511e-09,1.2093726047497279e-09,0.7336000127151231,1.6874393796299465e-09,1.1361484277934627e-09,0.6732973293788004,0.9663799856479169
sub-022,3.140420603555212e-08,3.806898496892271e-08,1.2122256784911398,7.452458744764143e-09,5.050907098844792e-09,0.6777504273194932,1.5390608192029678e-08,9.863718853110368e-09,0.640892077170705,1.8169683687491103e-08,1.0414004215938782e-08,0.573152752411881,0.4842211985244054
sub-023,1.9661801903901132e-08,2.1708278896718567e-08,1.1040838984554813,3.0894152387879684e-09,2.145535004871327e-09,0.694479323444089,6.255727575177514e-09,4.0321680842419454e-09,0.6445562144108438,1.361392795565539e-08,9.550260655605193e-09,0.7015066251792451,0.493853864584297
sub-024,1.3642333925341225e-08,1.674679353747441e-08,1.227560740641784,5.0264356730205544e-09,4.499257783728465e-09,0.8951189424104795,1.2479810741085253e-08,1.152879437664611e-08,0.9237956100321084,5.656109969442662e-09,4.334093947892824e-09,0.76626762409287,0.402765376599249
sub-025,7.528833502986212e-08,7.423069196631499e-08,0.985952099178078,3.6135756605907246e-08,2.2300873771913084e-08,0.6171414650348701,1.811547582049147e-08,1.0388753199699069e-08,0.5734739348081459,6.5741218109311155e-09,5.188261470272717e-09,0.7891946056804027,1.9947450988304698
sub-026,4.323182107129183e-08,8.9045171177917e-08,2.059713631564959,1.9318166483682198e-08,2.4077619043622987e-08,1.2463718574928442,4.1064678584727014e-08,4.198832348070697e-08,1.022492441870067,1.541810659218344e-08,1.0201160197711427e-08,0.6616350805930435,0.4704326722982585
sub-027,2.8790056640512017e-08,3.022738017814991e-08,1.049924303921492,1.1939083623682916e-08,9.037662141294308e-09,0.756981224536093,1.7768052180132287e-08,1.2257208231131323e-08,0.6898453531578983,6.135426291735452e-09,3.910136367724555e-09,0.637304757941855,0.6719410491732374
sub-028,5.0695663219125506e-08,1.162496567048022e-07,2.2930887835972866,9.072499873265983e-09,6.746974585829873e-09,0.7436731529433517,9.630756767872701e-09,6.9504671883510944e-09,0.7216948113088267,6.370516209348166e-09,5.751058642689797e-09,0.9027617941306908,0.942033953503113
sub-029,6.005691158433078e-08,1.0099228999120559e-07,1.6816097819048543,3.590634930971261e-09,3.645432384434589e-09,1.0152612154999856,1.0283246976112744e-08,1.1976786699376731e-08,1.1646892005217768,4.604739495280335e-09,2.588780743730244e-09,0.5621991746511688,0.3491732659258357
sub-030,3.284489259646746e-08,7.230831317619973e-08,2.201508589617877,6.967322057957425e-09,6.484376886248602e-09,0.9306842474495278,2.317087478902257e-08,3.242508322648864e-08,1.3993896873436276,1.359270481371311e-08,1.0156800219386576e-08,0.7472243647298076,0.3006930951635137
sub-031,1.1180392401327755e-07,1.355032670957066e-07,1.2119723729876832,7.238835615890854e-08,7.184012494269024e-08,0.9924265276170272,1.1184197639022834e-07,1.0361697383057923e-07,0.9264587159033097,1.8274947546425473e-08,1.4447547489494887e-08,0.7905657432281268,0.6472378126289364
sub-032,7.465483755175678e-08,8.4895456775391e-08,1.137172882018993,4.746414808416556e-08,3.977019793364169e-08,0.8378997525273051,2.2706092762927656e-08,1.7184729939031715e-08,0.7568334243348686,5.218291893878262e-09,3.399924344556383e-09,0.6515397018217663,2.090370570565998
sub-033,2.134147996858891e-08,2.2912114206525655e-08,1.0735953757775212,1.1748404283497039e-08,9.00964002997382e-09,0.7668820218103699,5.917273824689243e-09,4.138680998120123e-09,0.6994236063323424,4.41510719984276e-09,4.453365465318107e-09,1.0086653083931256,1.9854420517904676
sub-034,1.912610306674153e-08,2.499205296502355e-08,1.306698645187286,4.765900625650287e-09,4.014874723257439e-09,0.8424167935120608,1.2689143226673037e-08,1.0321399922968258e-08,0.8134040051870722,7.931193951298624e-09,8.244326217176074e-09,1.0394811005505897,0.37558884319566915
sub-035,5.472511971191525e-08,4.742297817929956e-08,0.8665669153205013,1.154293348610161e-08,7.028884017723193e-09,0.6089339444073203,1.5936304155027734e-08,1.0095766978214342e-08,0.6335074230513627,1.4626173636795739e-08,8.048101905895503e-09,0.5502534091109463,0.7243168412081252
